Drug,SMILES,permeable
CARFECILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccccc3)c3ccccc3)C(=O)N2[C@H]1C(O)=O CARFECILLIN,0
CARINDACILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2[C@H]1C(O)=O CARINDACILLIN,0
CARUMONAM,NC(=O)OC[C@@H]1[C@H](NC(=O)/C(=N/OCC(O)=O)/c2csc(n2)N)C(=O)N1S(O)(=O)=O CARUMONAM,0
CEFACETRILE,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CC#N)C2=O)C(O)=O CEFACETRILE,0
CEFACLOR,N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)Cl)c1ccccc1 CEFACLOR,0
CEFADROXIL,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c1ccc(cc1)O)C2=O)C(O)=O CEFADROXIL,0
CEFALEXIN,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c1ccccc1)C2=O)C(O)=O CEFALEXIN,0
CEFALOGLYCIN,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c1ccccc1)C2=O)C(O)=O CEFALOGLYCIN,0
CEFALONIUM,NC(=O)c1cc[n+](cc1)CC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1sccc1)C2=O)C([O-])=O CEFALONIUM,0
CEFALORAM,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1ccccc1)C2=O)C(O)=O CEFALORAM,0
CEFALORIDINE,[O-]C(=O)C1=C(CS[C@@H]2[C@H](NC(=O)Cc3sccc3)C(=O)N21)C[n+]1ccccc1 CEFALORIDINE,0
CEFALOTIN,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1sccc1)C2=O)C(O)=O CEFALOTIN,0
CEFAMANDOLE,Cn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](O)c1ccccc1)C2=O)C(O)=O CEFAMANDOLE,0
CEFAPAROLE,Cc1sc(nn1)SCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c1ccc(cc1)O)C2=O)C(O)=O CEFAPAROLE,0
CEFAPIRIN,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc1ccncc1)C2=O)C(O)=O CEFAPIRIN,0
CEFATRIZINE,N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc1c[nH]nn1)c1ccc(cc1)O CEFATRIZINE,0
CEFAZAFLUR,Cn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSC(F)(F)F)C2=O)C(O)=O CEFAZAFLUR,0
CEFAZEDONE,Cc1sc(nn1)SCC1=C(N2[C@H](SC1)[C@H](NC(=O)CN1C=C(Cl)C(=O)C(=C1)Cl)C2=O)C(O)=O CEFAZEDONE,0
CEFAZOLIN,Cc1sc(nn1)SCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cn1cnnn1)C2=O)C(O)=O CEFAZOLIN,0
CEFCANEL-DALOXATE,C[C@H](N)C(=O)O[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)OCC1=C(C)OC(=O)O1)CSc1sc(nn1)C)c1ccccc1 CEFCANEL-DALOXATE,0
CEFDITOREN,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)\C=C/c1scnc1C)\c1csc(n1)N CEFDITOREN,0
CEFEDROLOR,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c1ccc(c(c1)Cl)O)C2=O)C(O)=O CEFEDROLOR,0
CEFEMPIDONE,Nc1sc(cn1)/C(=N/OC1CCNC1=O)/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[n+]1ccccc1 CEFEMPIDONE,0
CEFEPIME,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[N+]1(C)CCCC1)/c1csc(n1)N CEFEPIME,0
CEFETAMET,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)C)\c1csc(n1)N CEFETAMET,0
CEFETRIZOLE,OC(=O)C1=C(CS[C@@H]2[C@H](NC(=O)Cc3sccc3)C(=O)N21)CSc1n[nH]cn1 CEFETRIZOLE,0
CEFIVITRIL,Cn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)CS\C=C/C#N)C2=O)C(O)=O CEFIVITRIL,0
CEFIXIME,Nc1scc(n1)/C(=N/OCC(O)=O)/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)C=C CEFIXIME,0
CEFMENOXIME,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc1nnnn1C)\c1csc(n1)N CEFMENOXIME,0
CEFMETAZOLE,CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc1nnnn1C CEFMETAZOLE,0
CEFMINOX,CO[C@]1(NC(=O)CSC[C@@H]([N+H3])C([O-])=O)[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc1nnnn1C CEFMINOX,0
CEFODIZIME,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc1sc(c(n1)C)CC(O)=O)\c1csc(n1)N CEFODIZIME,0
CEFONICID,O[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc1nnnn1CS(O)(=O)=O)c1ccccc1 CEFONICID,0
CEFOPERAZONE,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)CSc2nnnn2C)c2ccc(cc2)O)C(=O)C1=O CEFOPERAZONE,0
CEFORANIDE,NCc1ccccc1CC(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc1nnnn1CC(O)=O CEFORANIDE,0
CEFOTAXIME,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)COC(C)=O)\c1csc(n1)N CEFOTAXIME,0
CEFOTETAN,CO[C@]1(NC(=O)C2SC(S2)=C(C(N)=O)C(O)=O)[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc1nnnn1C CEFOTETAN,0
CEFOTIAM,CN(C)CCn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1csc(n1)N)C2=O)C(O)=O CEFOTIAM,0
CEFOXAZOLE,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)c1c(onc1c1ccccc1Cl)C)C2=O)C(O)=O CEFOXAZOLE,0
CEFOXITIN,CO[C@]1(NC(=O)Cc2sccc2)[C@H]2SCC(=C(N2C1=O)C(O)=O)COC(N)=O CEFOXITIN,0
CEFPIMIZOLE,OC(=O)c1[nH]cnc1C(=O)N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[n+]1ccc(cc1)CCS(O)(=O)=O)c1ccccc1 CEFPIMIZOLE,0
CEFPIRAMIDE,Cn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](NC(=O)c1cnc(cc1O)C)c1ccc(cc1)O)C2=O)C(O)=O CEFPIRAMIDE,0
CEFPIROME,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[n+]1cccc2c1CCC2)\c1csc(n1)N CEFPIROME,0
CEFPODOXIME,COCC1=C(N2[C@H](SC1)[C@H](NC(=O)\C(=N/OC)\c1csc(n1)N)C2=O)C(O)=O CEFPODOXIME,0
CEFQUINOME,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[n+]1cccc2c1CCCC2)/c1csc(n1)N CEFQUINOME,0
CEFRADINE,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CCC=CC1)C2=O)C(O)=O CEFRADINE,0
CEFROTIL,CC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1ccc(cc1)C1=NCCCN1)C2=O)C(O)=O CEFROTIL,0
CEFROXADINE,COC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1C=CCC=C1)C2=O)C(O)=O CEFROXADINE,0
CEFSULODIN,NC(=O)c1cc[n+](cc1)CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@@H](c1ccccc1)S(O)(=O)=O)C2=O)C([O-])=O CEFSULODIN,0
CEFSUMIDE,CC1=C(N2[C@H](SC1)[C@H](NC(=O)C(N)c1cccc(c1)NS(C)(=O)=O)C2=O)C(O)=O CEFSUMIDE,0
CEFTAZIDIME,CC(C)(O\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[n+]1ccccc1)\c1csc(n1)N)C(O)=O CEFTAZIDIME,0
CEFTERAM,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)Cn1nnc(n1)C)\c1csc(n1)N CEFTERAM,0
CEFTEZOLE,OC(=O)C1=C(CS[C@@H]2[C@H](NC(=O)Cn3cnnn3)C(=O)N21)CSc1scnn1 CEFTEZOLE,0
CEFTIOFUR,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSC(=O)c1occc1)\c1csc(n1)N CEFTIOFUR,0
CEFTIOLENE,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)/C=C/SC1=NNC(=O)C(=O)N1CC=O)/c1csc(n1)N CEFTIOLENE,0
CEFTIOXIDE,CO\N=C(/C(=O)N[C@H]1[C@@H]2N(C1=O)C(=C(COC(C)=O)CS2=O)C(O)=O)\c1csc(n1)N CEFTIOXIDE,0
CEFTIZOXIME,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O)\c1csc(n1)N CEFTIZOXIME,0
CEFTRIAXONE,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSC1=NC(=O)C(=O)NN1C)/c1csc(n1)N CEFTRIAXONE,0
CEFURACETIME,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)COC(C)=O)\c1occc1 CEFURACETIME,0
CEFUROXIME-PIVOXETIL,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)OC(C)OC(=O)C(C)(C)OC)COC(N)=O)\c1occc1 CEFUROXIME-PIVOXETIL,0
CEFUROXIME-AXETIL,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)OC(C)OC(C)=O)COC(N)=O)\c1occc1 CEFUROXIME-AXETIL,0
CEFUROXIME,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)COC(N)=O)/c1occc1 CEFUROXIME,0
CEFUZONAM,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc1snnc1)\c1csc(n1)N CEFUZONAM,0
CEPHALOSPORIN-C,CC(=O)OCC1=C(N2C(SC1)C(NC(=O)CCCC(N)C(O)=O)C2=O)C(O)=O CEPHALOSPORIN-C,0
CLINDAMYCIN,CCC[C@@H]1C[C@H](N(C)C1)C(=O)NC(C(C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O CLINDAMYCIN,0
CLOMETOCILLIN,COC(C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)c1ccc(c(c1)Cl)Cl CLOMETOCILLIN,0
CLOXACILLIN,Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)c1ccccc1Cl CLOXACILLIN,0
SULOPENEM,C[C@@H](O)[C@@H]1[C@H]2SC(=C(N2C1=O)C(O)=O)S[C@H]1CCS(=O)C1 SULOPENEM,0
CYCLACILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(O)=O CYCLACILLIN,0
DICLOXACILLIN,Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)c1c(cccc1Cl)Cl DICLOXACILLIN,0
SANFETRINEM,CO[C@H]1CCC[C@@H]2[C@@H]3[C@@H]([C@@H](C)O)C(=O)N3C(=C12)C(O)=O SANFETRINEM,0
LENAPENEM,CNCC[C@@H](O)[C@@H]1C[C@@H](CN1)SC1=C(N2[C@H]([C@H]1C)[C@@H]([C@@H](C)O)C2=O)C(O)=O LENAPENEM,0
CEFTIZOXIME ALAPIVOXIL,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)\c1csc(n1)NC(=O)[C@H](C)N CEFTIZOXIME_ALAPIVOXIL,0
TOBICILLIN,CC(C)C(=O)OCc1cccc(c1)OC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](NC(=O)Cc1ccccc1)C2=O TOBICILLIN,0
CEFCLIDIN,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[N+]12CCC(CC1)(CC2)C(N)=O)/c1nsc(n1)N CEFCLIDIN,0
CEFLUPRENAM,CC[N+](C)(C\C=C\C1=C(N2[C@H](SC1)[C@H](NC(=O)\C(=N/OCF)\c1nsc(n1)N)C2=O)C([O-])=O)CC(N)=O CEFLUPRENAM,0
EPICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C(=O)N2[C@H]1C(O)=O EPICILLIN,0
FENBENICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)C(Oc3ccccc3)c3ccccc3)C(=O)N2[C@H]1C(O)=O FENBENICILLIN,0
FIBRACILLIN,CC1(C)S[C@H]2[C@@H](NC(=O)C(NC(=O)C(C)(C)Oc3ccc(cc3)Cl)c3ccccc3)C(=O)N2[C@@H]1C(O)=O FIBRACILLIN,0
CEFOSELIS,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[n+]1ccc(n1CCO)N)/c1csc(n1)N CEFOSELIS,0
CEFDINIR,Nc1scc(n1)\C(=N/O)\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)C=C CEFDINIR,0
FLOMOXEF,CO[C@]1(NC(=O)CSC(F)F)[C@H]2OCC(=C(N2C1=O)C(O)=O)CSc1nnnn1CCO FLOMOXEF,0
FLUCLOXACILLIN,Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)c1c(cccc1Cl)F FLUCLOXACILLIN,0
FAROPENEM,C[C@@H](O)[C@@H]1[C@H]2SC(=C(N2C1=O)C(O)=O)[C@H]1CCCO1 FAROPENEM,0
FUMOXICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)C(/N=C/c3occc3)c3ccc(cc3)O)C(=O)N2[C@H]1C(O)=O FUMOXICILLIN,0
FURBUCILLIN,CC(C)C[C@@H](OC(=O)c1occc1)C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O FURBUCILLIN,0
GLOXIMONAM,CO\N=C(/C(=O)N[C@H]1[C@H](C)N(OCC(=O)OCC(=O)OC(C)(C)C)C1=O)\c1csc(n1)N GLOXIMONAM,0
HETACILLIN,CC1(C)N[C@@H](C(=O)N1[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)c1ccccc1 HETACILLIN,0
IMIPENEM,C[C@@H](O)[C@@H]1[C@H]2CC(=C(N2C1=O)C(O)=O)SCCN/C=N IMIPENEM,0
ISOPROPICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)C(C)(C)Oc3ccccc3)C(=O)N2[C@H]1C(O)=O ISOPROPICILLIN,0
CEFCANEL,Cc1sc(nn1)SCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](O)c1ccccc1)C2=O)C(O)=O CEFCANEL,0
LATAMOXEF,CO[C@]1(NC(=O)C(C(O)=O)c2ccc(cc2)O)[C@H]2OCC(=C(N2C1=O)C(O)=O)CSc1nnnn1C LATAMOXEF,0
LENAMPICILLIN,CC1=C(COC(=O)[C@@H]2N3[C@H](SC2(C)C)[C@H](NC(=O)[C@H](N)c2ccccc2)C3=O)OC(=O)O1 LENAMPICILLIN,0
BIAPENEM,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C([O-])=O)SC1Cn2cnc[n+]2C1 BIAPENEM,0
LORACARBEF,N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(O)=O)Cl)c1ccccc1 LORACARBEF,0
MECILLINAM,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(O)=O MECILLINAM,0
METAMPICILLIN,CC1(C)SC2C(NC(=O)C(N=C)c3ccccc3)C(=O)N2C1C(O)=O METAMPICILLIN,0
METICILLIN,COc1cccc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)OC METICILLIN,0
MEZLOCILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(C3=O)S(C)(=O)=O)c3ccccc3)C(=O)N2[C@H]1C(O)=O MEZLOCILLIN,0
NAFCILLIN,CCOc1ccc2ccccc2c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O NAFCILLIN,0
NALIDIXIC-ACID,CCN1C=C(C(O)=O)C(=O)c2ccc(nc12)C NALIDIXIC-ACID,0
OXACILLIN,Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)c1ccccc1 OXACILLIN,0
OXETACILLIN,CC1(C)N[C@@H](C(=O)N1[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)c1ccc(cc1)O OXETACILLIN,0
PENAMECILLIN,CC(=O)OCOC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](NC(=O)Cc1ccccc1)C2=O PENAMECILLIN,0
PHENETICILLIN,CC(Oc1ccccc1)C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O PHENETICILLIN,0
PIPERACILLIN,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c2ccccc2)C(=O)C1=O PIPERACILLIN,0
PIRBENICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)CN/C(=N)/c3ccncc3)c3ccccc3)C(=O)N2[C@H]1C(O)=O PIRBENICILLIN,0
PIRIDICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)C3=CC=C(NC3=O)c3ccc(cc3)S(=O)(=O)N(CCO)CCO)c3ccc(cc3)O)C(=O)N2[C@H]1C(O)=O PIRIDICILLIN,0
PIROXICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)Nc3cnc(nc3O)Nc3ccc(cc3)S(N)(=O)=O)c3ccc(cc3)O)C(=O)N2[C@H]1C(O)=O PIROXICILLIN,0
PIVAMPICILLIN,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](NC(=O)[C@H](N)c1ccccc1)C2=O PIVAMPICILLIN,0
PIVMECILLINAM,CC(C)(C)C(=O)OCOC(=O)C1N2C(SC1(C)C)C(/N=C/N1CCCCCC1)C2=O PIVMECILLINAM,0
PRAZOCILLIN,Cc1cnn(c1C(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O)c1c(cccc1Cl)Cl PRAZOCILLIN,0
PROPICILLIN,CCC(Oc1ccccc1)C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O PROPICILLIN,0
QUINACILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)c3nc4ccccc4nc3C(O)=O)C(=O)N2[C@H]1C(O)=O QUINACILLIN,0
RITIPENEM,C[C@@H](O)[C@@H]1[C@H]2SC(=C(N2C1=O)C(O)=O)COC(N)=O RITIPENEM,0
ROTAMICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)Cc3ccc(cc3)C3=NCCCN3)c3ccccc3)C(=O)N2[C@H]1C(O)=O ROTAMICILLIN,0
PANIPENEM,C[C@@H](O)[C@@H]1[C@H]2CC(=C(N2C1=O)C(O)=O)S[C@@H]1CCN(C1)/C(/C)=N PANIPENEM,0
CEFDALOXIME,COCC1=C(N2[C@H](SC1)[C@H](NC(=O)\C(=N/O)\c1csc(n1)N)C2=O)C(O)=O CEFDALOXIME,0
CEFCAPENE,CC\C=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)COC(N)=O)\c1csc(n1)N CEFCAPENE,0
SARMOXICILLIN,COCOC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](N1C(=O)C(NC1(C)C)c1ccc(cc1)O)C2=O SARMOXICILLIN,0
SARPICILLIN,COCOC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](N1C(=O)C(NC1(C)C)c1ccccc1)C2=O SARPICILLIN,0
CEFOZOPRAN,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[n+]1ccn2c1C=CC=N2)\c1nsc(n1)N CEFOZOPRAN,0
MEROPENEM,C[C@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(O)=O)S[C@@H]1CN[C@@H](C1)C(=O)N(C)C MEROPENEM,0
OXIMONAM,CO\N=C(/C(=O)N[C@H]1[C@H](C)N(OCC(O)=O)C1=O)\c1csc(n1)N OXIMONAM,0
SULBENICILLIN,CC1(C)SC2C(NC(=O)C(c3ccccc3)S(O)(=O)=O)C(=O)N2C1C(O)=O SULBENICILLIN,0
SULTAMICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OCOC(=O)[C@@H]1N2[C@@H](CC2=O)S(=O)(=O)C1(C)C SULTAMICILLIN,0
SUNCILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NS(O)(=O)=O)c3ccccc3)C(=O)N2[C@H]1C(O)=O SUNCILLIN,0
TALAMPICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc12 TALAMPICILLIN,0
TAMETICILLIN,CCN(CC)CCOC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](NC(=O)c1c(cccc1OC)OC)C2=O TAMETICILLIN,0
TEMOCILLIN,CO[C@]1(NC(=O)C(C(O)=O)c2cscc2)[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O TEMOCILLIN,0
TICARCILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(O)=O)c3cscc3)C(=O)N2[C@H]1C(O)=O TICARCILLIN,0
TIFENCILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)CSc3ccccc3)C(=O)N2[C@H]1C(O)=O TIFENCILLIN,0
TIGEMONAM,CC1(C)[C@H](NC(=O)/C(=N/OCC(O)=O)/c2csc(n2)N)C(=O)N1OS(O)(=O)=O TIGEMONAM,0
XANTOCILLIN,Oc1ccc(cc1)\C=C(/[N+]#[C-])\C(=C\c1ccc(cc1)O)\[N+]#[C-] XANTOCILLIN,0
TAZOBACTAM,C[C@@]1(Cn2ccnn2)[C@H](N2[C@H](CC2=O)S1(=O)=O)C(O)=O TAZOBACTAM,0
CLARITHROMYCIN,CC[C@@H]1OC(=O)[C@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(C[C@@H](C)C(=O)[C@@H](C)[C@@H](O)[C@]1(C)O)OC CLARITHROMYCIN,0
BERYTHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C BERYTHROMYCIN,0
AZITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O AZITHROMYCIN,0
DIPROLEANDOMYCIN,CCC(=O)O[C@H]1[C@@H](C)[C@@H](C)OC(=O)C(C)[C@@H](O[C@H]2C[C@H](OC)[C@@H](OC(=O)CC)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)C(C)C[C@@]2(CO2)C(=O)[C@@H]1C DIPROLEANDOMYCIN,0
DIRITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O DIRITHROMYCIN,0
EFROTOMYCIN,CC[C@H](C(=O)NC/C=C/C=C(\C)/[C@@H](OC)[C@@H](C)C1O[C@H](/C=C/C=C/C=C(\C)/C(=O)C2=C(O)C=CN(C)C2=O)[C@H](O)[C@@H]1O)[C@@]1(O)O[C@@H](/C=C/C=C\C)C(C)(C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@H]3OC)[C@@H](OC)[C@H]2O)[C@H]1O EFROTOMYCIN,0
ERYTHROMYCIN-ETHYLCARBONATE,CCOC(=O)O[C@@H]1[C@H](C[C@@H](C)O[C@H]1O[C@@H]1[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]1(C)O)N(C)C ERYTHROMYCIN-ETHYLCARBONATE,0
ERYTHROMYCIN-ETHYLSUCCINATE,CCOC(=O)CCC(=O)O[C@@H]1[C@H](C[C@@H](C)O[C@H]1O[C@@H]1[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]1(C)O)N(C)C ERYTHROMYCIN-ETHYLSUCCINATE,0
ERYTHROMYCIN-PROPIONATE,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2OC(=O)CC)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O ERYTHROMYCIN-PROPIONATE,0
